LFQ intensity Gua_1	LFQ intensity Gua_2	LFQ intensity Gua_3	LFQ intensity RG/SDC_1	LFQ intensity RG/SDC_2	LFQ intensity RG/SDC_3	LFQ intensity RG_1	LFQ intensity RG_2	LFQ intensity RG_3	LFQ intensity SDC_1	LFQ intensity SDC_2	LFQ intensity SDC_3	LFQ intensity Urea_1	LFQ intensity Urea_2	LFQ intensity Urea_3	Only identified by site	Reverse	Protein IDs	Majority protein IDs	Protein names	Gene names
6.41797	6.43463	6.80907	6.64887	6.50214	6.50869	6.59791	6.40909	6.33558	6.51837	6.5456	6.57165	6.79778	7.08625	6.27538			NP_248747.1;AAG03447.1	NP_248747.1;AAG03447.1		
8.54786	8.41948	8.39829	8.66885	8.71868	8.6813	8.70035	8.66915	8.75872	8.8095	8.75805	8.76987	9.02073	8.83593	8.79135			NP_248749.1;AAG03449.1	NP_248749.1;AAG03449.1		
6.62149	6.43159	7.11942	6.2881	6.62736	6.67763	6.02085	6.60595	6.53206	6.17295	6.54641	6.67205	6.02927	6.48886	6.7723			NP_248750.1;AAG03450.1	NP_248750.1;AAG03450.1		
6.80777	6.4983	6.00901	6.25073	6.54452	6.4626	6.77368	6.49865	6.28079	6.18173	6.27499	6.75515	6.53787	6.60663	6.09008			NP_248754.1;AAG03454.1	NP_248754.1;AAG03454.1		
7.12251	7.16912	7.12766	7.0992	7.23538	7.37212	7.19783	7.28535	7.09339	7.16935	7.37254	7.45675	7.40285	7.39391	7.39569			NP_248755.1;AAG03455.1	NP_248755.1;AAG03455.1		
7.89808	7.64471	7.75052	6.41242	6.25179	6.15427	6.74473	6.60577	6.26164	6.6014	6.80226	6.69474	6.30052	6.62151	6.41844			NP_248756.1;AAG03456.1	NP_248756.1;AAG03456.1		
8.2026	8.26186	8.19081	8.35559	8.23124	8.16607	8.37703	8.41692	8.42899	8.47852	8.5669	8.6155	7.92931	8.2164	8.27316			NP_248757.1;AAG03457.1	NP_248757.1;AAG03457.1		
6.42865	6.26588	6.29139	6.99835	6.99569	7.16071	6.73396	6.61584	6.48499	6.67336	6.96002	7.09311	6.15206	6.57035	6.12462			NP_248758.1;AAG03458.1	NP_248758.1;AAG03458.1		
6.61461	6.4379	6.83855	6.32464	6.83501	6.60212	6.50082	6.24996	6.36318	6.35369	6.09838	6.47097	6.39538	6.75089	6.22337	+		NP_248759.1;AAG03459.1	NP_248759.1;AAG03459.1		
8.22546	8.18879	8.38587	8.7766	8.86018	8.91593	8.7361	8.63674	8.69812	8.65814	8.87373	8.84242	7.88934	8.07386	8.15039			NP_248760.1;AAG03460.1	NP_248760.1;AAG03460.1		
6.48287	6.60526	6.55391	6.44218	6.4137	6.38285	6.47362	6.62412	6.55948	6.44979	6.14696	6.32695	6.32649	6.76113	6.31875			NP_248764.1;AAG03464.1	NP_248764.1;AAG03464.1		
6.44547	6.20822	6.13326	6.65396	6.58887	6.03123	6.71103	6.95376	6.41171	7.095	7.06187	6.22047	7.13226	7.03711	7.31144			NP_248765.1;AAG03465.1	NP_248765.1;AAG03465.1		
